0, 4.707576E-07
1e-10, 9.237851E-07
2e-10, 1.344081E-06
3e-10, 1.719753E-06
4e-10, 2.042163E-06
5e-10, 2.305884E-06
6e-10, 2.508481E-06
7e-10, 2.650180E-06
8e-10, 2.733453E-06
9e-10, 2.762562E-06
1e-09, 2.743094E-06
1.1e-09, 2.681512E-06
1.2e-09, 2.584742E-06
1.3e-09, 2.459822E-06
1.4e-09, 2.313599E-06
1.5e-09, 2.152502E-06
1.6e-09, 1.982369E-06
1.7e-09, 1.808336E-06
1.8e-09, 1.634780E-06
1.9e-09, 1.465302E-06
2e-09, 1.302749E-06
2.1e-09, 1.149259E-06
2.2e-09, 1.006328E-06
2.3e-09, 8.748881E-07
2.4e-09, 7.553900E-07
2.5e-09, 6.478880E-07
2.6e-09, 5.521204E-07
2.7e-09, 4.675844E-07
2.8e-09, 3.936034E-07
2.9e-09, 3.293856E-07
3e-09, 2.740729E-07
3.1e-09, 2.267814E-07
3.2e-09, 1.866330E-07
3.3e-09, 1.527794E-07
3.4e-09, 1.244196E-07
3.5e-09, 1.008116E-07
3.6e-09, 8.127843E-08
3.7e-09, 6.521202E-08
3.8e-09, 5.207255E-08
3.9e-09, 4.138645E-08
4e-09, 3.274257E-08
4.1e-09, 2.578745E-08
4.2e-09, 2.021987E-08
4.3e-09, 1.578538E-08
4.4e-09, 1.227070E-08
4.5e-09, 9.498395E-09
4.6e-09, 7.321938E-09
4.7e-09, 5.621130E-09
4.8e-09, 4.298024E-09
4.9e-09, 3.273305E-09
5e-09, 2.483135E-09
5.1e-09, 1.876434E-09
5.2e-09, 1.412563E-09
5.3e-09, 1.059363E-09
5.4e-09, 7.915252E-10
5.5e-09, 5.892339E-10
5.6e-09, 4.370517E-10
5.7e-09, 3.230120E-10
5.8e-09, 2.378827E-10
5.9e-09, 1.745755E-10
6e-09, 1.276722E-10
6.1e-09, 9.305040E-11
6.2e-09, 6.758731E-11
6.3e-09, 4.892741E-11
6.4e-09, 3.530161E-11
6.5e-09, 2.538671E-11
6.6e-09, 1.819709E-11
6.7e-09, 1.300154E-11
6.8e-09, 9.259736E-12
6.9e-09, 6.573944E-12
7e-09, 4.652536E-12
7.1e-09, 3.282481E-12
7.2e-09, 2.308742E-12
7.3e-09, 1.618903E-12
7.4e-09, 1.131750E-12
7.5e-09, 7.888142E-13
7.6e-09, 5.481571E-13
7.7e-09, 3.797973E-13
7.8e-09, 2.623769E-13
7.9e-09, 1.807326E-13
8e-09, 1.241351E-13
8.1e-09, 8.501766E-14
8.2e-09, 5.806174E-14
8.3e-09, 3.954089E-14
8.4e-09, 2.685266E-14
8.5e-09, 1.818533E-14
8.6e-09, 1.228163E-14
8.7e-09, 8.271778E-15
8.8e-09, 5.555901E-15
8.9e-09, 3.721541E-15
9e-09, 2.485957E-15
9.1e-09, 1.655896E-15
9.2e-09, 1.099647E-15
9.3e-09, 7.276856E-16
9.4e-09, 4.792983E-16
9.5e-09, 3.133740E-16
9.6e-09, 2.020646E-16
9.7e-09, 1.264218E-16
9.8e-09, 7.337604E-17
9.9e-09, 3.360934E-17
0, 4.695740E-07
1e-10, 9.074590E-07
2e-10, 1.286129E-06
3e-10, 1.583744E-06
4e-10, 1.785081E-06
5e-10, 1.881882E-06
6e-10, 1.872678E-06
7e-10, 1.762164E-06
8e-10, 1.560251E-06
9e-10, 1.280893E-06
1e-09, 9.408127E-07
1.1e-09, 5.582316E-07
1.2e-09, 1.516780E-07
1.3e-09, -2.610509E-07
1.4e-09, -6.637341E-07
1.5e-09, -1.042356E-06
1.6e-09, -1.385518E-06
1.7e-09, -1.684635E-06
1.8e-09, -1.933959E-06
1.9e-09, -2.130433E-06
2e-09, -2.273443E-06
2.1e-09, -2.364470E-06
2.2e-09, -2.406709E-06
2.3e-09, -2.404657E-06
2.4e-09, -2.363718E-06
2.5e-09, -2.289826E-06
2.6e-09, -2.189120E-06
2.7e-09, -2.067664E-06
2.8e-09, -1.931221E-06
2.9e-09, -1.785089E-06
3e-09, -1.633983E-06
3.1e-09, -1.481971E-06
3.2e-09, -1.332442E-06
3.3e-09, -1.188119E-06
3.4e-09, -1.051088E-06
3.5e-09, -9.228541E-07
3.6e-09, -8.044020E-07
3.7e-09, -6.962709E-07
3.8e-09, -5.986270E-07
3.9e-09, -5.113350E-07
4e-09, -4.340261E-07
4.1e-09, -3.661594E-07
4.2e-09, -3.070752E-07
4.3e-09, -2.560416E-07
4.4e-09, -2.122917E-07
4.5e-09, -1.750546E-07
4.6e-09, -1.435786E-07
4.7e-09, -1.171479E-07
4.8e-09, -9.509530E-08
4.9e-09, -7.680868E-08
5e-09, -6.173525E-08
5.1e-09, -4.938215E-08
5.2e-09, -3.931521E-08
5.3e-09, -3.115611E-08
5.4e-09, -2.457842E-08
5.5e-09, -1.930309E-08
5.6e-09, -1.509367E-08
5.7e-09, -1.175139E-08
5.8e-09, -9.110449E-09
5.9e-09, -7.033557E-09
6e-09, -5.407820E-09
6.1e-09, -4.141024E-09
6.2e-09, -3.158324E-09
6.3e-09, -2.399348E-09
6.4e-09, -1.815685E-09
6.5e-09, -1.368741E-09
6.6e-09, -1.027914E-09
6.7e-09, -7.690738E-10
6.8e-09, -5.732908E-10
6.9e-09, -4.257916E-10
7e-09, -3.151034E-10
7.1e-09, -2.323599E-10
7.2e-09, -1.707414E-10
7.3e-09, -1.250268E-10
7.4e-09, -9.123692E-11
7.5e-09, -6.635249E-11
7.6e-09, -4.809261E-11
7.7e-09, -3.474156E-11
7.8e-09, -2.501408E-11
